Company,aImpact,Input,Structure,Output,Launched
23AndMe,0.678504779,Data,Market,Occupation,2006
37signals,0.277996883,Property,Platform,Contribution,1999
8Coupon,1.581776246,Knowledge,Market,Occupation,2007
AirBNB (2008),2.523547464,Property,Market,Occupation,2008
Ancestry,0.342963906,Data,Service,Access,1983
Android,1.142101087,Knowledge,Platform,Contribution,2003
Arduino,0.635013987,Knowledge,Platform,Contribution,2005
Athena Health,0.306498168,Data,Service,Access,1997
BlaBlaCar (2006),0.832845107,Property,Market,Occupation,2004
Couchsurfing,0.829179571,Property,Platform,Contribution,2004
Crowdflower,1.100209984,Service,Market,Occupation,2007
DeviantArt,0.29706163,CC.Media,Platform,Contribution,2000
Docstoc,0.346335272,Data,Market,Occupation,2007
Dropbox,0.626381484,Data,Market,Occupation,2008
Ebay,0.078476695,Property,Market,Occupation,1995
Elance,0.893785475,Knowledge,Market,Occupation,1999
Etsy,0.438403361,Property,Market,Occupation,2005
Evernote,1.490975905,CC.Media,Service,Access,2008
Facebook,0.426121223,Relationships,Platform,Contribution,2004
Fon,0.770750819,Property,Service,Access,2005
Foursquare,0.878885986,CC.Media,Platform,Contribution,2009
Global Giving,0.549314708,Money,Market,Occupation,2002
Guifinet,0.271361064,Property,Platform,Contribution,2003
Huffington Post,0.86459026,Knowledge,Market,Occupation,2005
Khan Academy,0.387280229,Knowledge,Service,Access,2006
Kiva,0.442739595,Money,Market,Occupation,2005
Lendingclub,0.918645266,Money,Market,Occupation,2006
LinkedIN,0.42971133,Relationships,Platform,Contribution,2002
Meet Up,0.415559936,Relationships,Market,Occupation,2002
Netflix,0.245920664,IP.Media,Service,Access,1997
Odesk,0.628165276,Knowledge,Market,Occupation,2005
Plos,0.616700636,Knowledge,Platform,Contribution,2006
Quirky,1.452360335,Knowledge,Platform,Contribution,2009
RenRen,0.25603631,Relationships,Platform,Contribution,2001
Research Gate,2.088187087,Knowledge,Platform,Contribution,2008
Salesforce,0.241377564,Relationships,Service,Access,1999
Shapeways,0.731322039,Property,Platform,Contribution,2008
Shiply,0.624821234,Property,Market,Occupation,2008
Shutterfly,0.198402901,CC.Media,Service,Access,1999
Skype,0.208446902,Relationships,Market,Occupation,2003
Spotify,0.839632849,IP.Media,Service,Access,2006
Stack Overflow,0.513720417,Knowledge,Platform,Contribution,2008
Survey Monkey,0.30702598,Data,Service,Access,1999
Twitter,1.219515049,CC.Media,Platform,Contribution,2006
Wikipedia,0.19167347,Knowledge,Platform,Contribution,2001
Yammer,1.349530529,Relationships,Platform,Contribution,2008
Yelp,0.465678618,Knowledge,Market,Occupation,2004
Youtube,0.84763712,CC.Media,Platform,Contribution,2005
ZipCar,0.084193265,Property,Service,Access,2000
