Company,Input,Structure,Output,Launched,aRevenue,aUsers,aImpact,avg
AirBNB (2008),Property,Market,Occupation,2008,1.76855716,1.030895266,2.523547464,1.774333297
Ancestry,Data,Service,Access,1983,0.26299392,0.247404134,0.342963906,0.284453987
Athena Health,Data,Service,Access,1997,0.280355109,0.23313267,0.306498168,0.273328649
Elance,Knowledge,Market,Occupation,1999,0.296133085,0.538359112,0.893785475,0.576092557
Etsy,Property,Market,Occupation,2005,0.571862568,0.684611144,0.438403361,0.564959024
Evernote,CC.Media,Service,Access,2008,0.821739679,0.984620128,1.490975905,1.099111904
Facebook,Relationships,Platform,Contribution,2004,0.742168543,1.147803821,0.426121223,0.772031196
Kiva,Money,Market,Occupation,2005,0.21925933,0.275467062,0.442739595,0.312488662
Netflix,IP.Media,Service,Access,1997,0.259680104,0.327451056,0.245920664,0.277683941
RenRen,Relationships,Platform,Contribution,2001,0.602222167,0.326729544,0.25603631,0.394996007
Salesforce,Relationships,Service,Access,1999,0.265914386,0.389307951,0.241377564,0.298866634
Shutterfly,CC.Media,Service,Access,1999,0.285037906,0.235411638,0.198402901,0.239617482
Skype,Relationships,Market,Occupation,2003,0.321300474,0.356474904,0.208446902,0.295407427
Spotify,IP.Media,Service,Access,2006,1.104522305,0.315743454,0.839632849,0.753299536
Wikipedia,Knowledge,Platform,Contribution,2001,0.443440028,0.123054455,0.19167347,0.252722651
Yammer,Relationships,Platform,Contribution,2008,1.384409805,0.911077518,1.349530529,1.215005951
Yelp,Knowledge,Market,Occupation,2004,0.602671702,0.73045222,0.465678618,0.599600847
ZipCar,Property,Service,Access,2000,0.254611119,0.264052454,0.084193265,0.200952279
