Company,Description,Money,Property,Knowledge,Services,IP.Media,CC.Media,Data,Relationships,Service,Market,Platform,Access,Occupation,Contribution
Odesk,Global Job Market Place,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Kiva ,P2P Lending Company,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Athena Health,Healthcare business services,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Shutterfly,Online Photo Service,0,0,0,0,0,1,0,0,1,0,0,0,0,1
LinkedIN,Social Network For Professionals,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Netflix,Online TV Service,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Facebook,Network site,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Yelp,Online review platform,0,0,1,0,0,0,0,0,0,1,0,0,1,0
AirBNB (2008),Tourism / Hospitality,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Wikipedia,Digital Enclyclopedia ,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Kickstarter,Digital crowdfunding,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ZipCar,Car Sharing Platform,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Evernote,Digital Notebook,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Spotify,Online Music Service,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Salesforce,Cloudcomputing,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Ancestry,For Profit Genealogy Company ,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Global Giving,Micro Credit Lending Club,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Elance,Online platform for work,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Survey Monkey,Survey Monkey,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Plos,Open Source Journal,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Crowdflower,Online P2P task platform,0,0,0,1,0,0,0,0,0,1,0,0,1,0
DeviantArt,Online artwork community,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23AndMe,Provides rapid genetic testing,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Twitter,Social Micro Blogging website,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Patientslikeme,Platform people physical problems,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Shiply,Transporting ,0,1,0,0,0,0,0,0,0,1,0,0,1,1
Skype,Online Communicating Platform,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Instragram,Photo Application,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Foursquare,Locations Based Services,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Pinterest,Photo-sharing website ,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Docstoc,File Sharing Website,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Khan Academy ,Online education program,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Dropbox,File Sharing Cloud,0,0,0,0,0,0,1,0,0,1,0,0,1,0
BlaBlaCar (2006),Travelling / Mobility ,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Arduino,OSHW project,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Couchsurfing,Hospitality / Tourism,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Sparkfun,OSHW webshop,0,1,0,0,0,0,0,0,0,0,1,0,0,1
37signals,Web Application Company,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Android ,Application Platform,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Whatsapp,Application ,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Ebay,E-Commerce Website,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Makerbot,Desktop 3D printing,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Huffington Post,Online News Aggregretor,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Etsy,E-Commerce Website,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Taskrabbit,Online p2p platform,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Fon ,"""Flexible"" Wifi provider",0,1,0,0,0,0,0,0,1,0,0,1,0,1
Quora,Questions and Answers,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Lendingclub,P2P Lending Company,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Carpooling.com,Ride Sharing,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Stack Overflow,Questions and Answers,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Outbrain,Content recommendation service,0,0,0,0,0,0,1,0,0,1,0,0,1,0
We Transfer,Digital filesending website,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Layar,Augmented Reality App,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Waze,Navigation Application,0,0,1,0,0,0,0,0,0,0,1,0,1,0
8Coupon,Location based deal collecter,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Causes.com,Platform for social change,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Hootesuite,Social Media Dashboard,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Change.org,Platform for social change,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Guifinet,"Free, Open, neutral wireless community network",0,1,0,0,0,0,0,0,0,0,1,0,0,1
Youtube,Video Sharing website ,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Research Gate,Online network for science and research,0,0,1,0,0,0,0,0,0,0,1,0,0,1
TedX,Video Conference Website,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Meet Up,Facilitates off line group meetings,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Yammer,Enterprise social network,0,0,0,0,0,0,0,1,0,0,1,0,0,1
RenRen,Chinese social network forum,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Crowdgather,"Network of online, forum based communities",0,0,0,0,0,0,0,1,0,0,1,0,0,1
Quirky,,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Shapeways,,0,1,0,0,0,0,0,0,0,0,1,0,0,1
